Photon   	Photoel.	
Energy   	Absorb. 	

1.000E-03	5.197E+03	
1.500E-03	2.344E+03	
2.000E-03	1.274E+03	
2.484E-03	7.900E+02	
2.484E-03	1.385E+03	
2.534E-03	1.636E+03	
2.586E-03	1.933E+03	
2.586E-03	2.439E+03	
3.000E-03	1.955E+03	
3.066E-03	1.847E+03	
3.066E-03	2.136E+03	
3.301E-03	1.782E+03	
3.554E-03	1.486E+03	
3.554E-03	1.575E+03	
3.699E-03	1.432E+03	
3.851E-03	1.302E+03	
3.851E-03	1.358E+03	
4.000E-03	1.242E+03	
5.000E-03	7.222E+02	
6.000E-03	4.598E+02	
8.000E-03	2.226E+02	
1.000E-02	1.256E+02	
1.304E-02	6.310E+01	
1.304E-02	1.582E+02	
1.500E-02	1.082E+02	
1.520E-02	1.045E+02	
1.520E-02	1.452E+02	
1.553E-02	1.380E+02	
1.586E-02	1.312E+02	
1.586E-02	1.517E+02	
2.000E-02	8.397E+01	
3.000E-02	2.886E+01	
4.000E-02	1.335E+01	
5.000E-02	7.292E+00	
6.000E-02	4.432E+00	
8.000E-02	2.012E+00	
8.800E-02	1.547E+00	
8.800E-02	7.321E+00	
1.000E-01	5.237E+00	
1.500E-01	1.815E+00	
2.000E-01	8.464E-01
