Photon   	Incoher.	Photoel.	
Energy   	Scatter.	Absorb. 	

1.000E-03	1.319E-02	4.076E+03	
1.500E-03	2.673E-02	1.374E+03	
2.000E-03	4.184E-02	6.162E+02	
3.000E-03	7.075E-02	1.919E+02	
4.000E-03	9.430E-02	8.197E+01	
5.000E-03	1.123E-01	4.192E+01	
6.000E-03	1.259E-01	2.407E+01	
8.000E-03	1.440E-01	9.919E+00	
1.000E-02	1.550E-01	4.944E+00	
1.500E-02	1.699E-01	1.369E+00	
2.000E-02	1.774E-01	5.439E-01	
3.000E-02	1.829E-01	1.458E-01	
4.000E-02	1.827E-01	5.680E-02	
5.000E-02	1.803E-01	2.725E-02	
6.000E-02	1.770E-01	1.493E-02	
8.000E-02	1.697E-01	5.770E-03	
1.000E-01	1.626E-01	2.763E-03	
1.500E-01	1.474E-01	7.308E-04	
2.000E-01	1.353E-01	2.887E-04
